INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
Connecticut College,CT,2,0.8375,75001.0
University of Connecticut,CT,1,0.838,73997.0
Goodwin University,CT,2,0.5833,43596.0
Eastern Connecticut State University,CT,1,0.5814,56469.0
Fairfield University,CT,2,0.8379,88794.0
University of Hartford,CT,2,0.5828,60823.0
Mitchell College,CT,2,0.4414,39115.0
University of New Haven,CT,2,0.5925,60126.0
Quinnipiac University,CT,2,0.7728,83759.0
Sacred Heart University,CT,2,0.745,75059.0
University of Saint Joseph,CT,2,0.697,59908.0
Southern Connecticut State University,CT,1,0.4782,55043.0
Trinity College,CT,2,0.8276,90779.0
Wesleyan University,CT,2,0.9157,73897.0
Western Connecticut State University,CT,1,0.5025,59115.0
Yale University,CT,2,0.9633,100533.0
Delaware Technical Community College-Terry,DE,1,0.1945,41448.0
Delaware State University,DE,1,0.3866,49307.0
University of Delaware,DE,1,0.7878,72950.0
Goldey-Beacom College,DE,2,0.5886,59892.0
Wilmington University,DE,2,0.2257,53844.0
American University,DC,2,0.7849,77370.0
The Catholic University of America,DC,2,0.8133,73250.0
University of the District of Columbia,DC,1,0.2626,44236.0
Gallaudet University,DC,2,0.4656,43101.0
George Washington University,DC,2,0.8518,90873.0
Georgetown University,DC,2,0.943,103494.0
Howard University,DC,2,0.689,63066.0
Trinity Washington University,DC,2,0.444,53804.0
Baptist University of Florida,FL,2,0.6923,42836.0
Barry University,FL,2,0.3659,55966.0
Bethune-Cookman University,FL,2,0.2783,38518.0
Lynn University,FL,2,0.5269,49006.0
Eastern Florida State College,FL,1,0.5122,37195.0
Broward College,FL,1,0.3611,41939.0
Albizu University-Miami,FL,2,0.6,41544.0
College of Central Florida,FL,1,0.4396,38203.0
Johnson University Florida,FL,2,0.2364,40596.0
University of Central Florida,FL,1,0.7515,58308.0
Chipola College,FL,1,0.6126,37378.0
Daytona State College,FL,1,0.4123,37096.0
Eckerd College,FL,2,0.6756,51819.0
Florida SouthWestern State College,FL,1,0.3854,43421.0
Edward Waters University,FL,2,0.2795,34782.0
Embry-Riddle Aeronautical University-Daytona Beach,FL,2,0.6736,84131.0
Florida Agricultural and Mechanical University,FL,1,0.5194,44349.0
Florida Atlantic University,FL,1,0.6433,56746.0
Florida State College at Jacksonville,FL,1,0.3243,42244.0
Flagler College,FL,2,0.5589,49483.0
Florida College,FL,2,0.5064,43445.0
AdventHealth University,FL,2,0.3562,72282.0
Florida Institute of Technology,FL,2,0.6545,43137.0
Florida International University,FL,1,0.7387,60249.0
The College of the Florida Keys,FL,1,0.408,42508.0
Florida Memorial University,FL,2,0.3023,36624.0
Florida Southern College,FL,2,0.6933,55294.0
Florida State University,FL,1,0.8299,61675.0
University of Florida,FL,1,0.9151,71588.0
Gulf Coast State College,FL,1,0.448,38359.0
Hillsborough Community College,FL,1,0.332,40782.0
Hobe Sound Bible College,FL,2,0.6071,39863.0
Indian River State College,FL,1,0.4248,38315.0
Jacksonville University,FL,2,0.5697,68010.0
Keiser University-Ft Lauderdale,FL,2,0.4421,39696.0
Florida Gateway College,FL,1,0.5657,37894.0
Lake-Sumter State College,FL,1,0.4466,39876.0
Luther Rice College & Seminary,GA,2,0.0,47003.0
State College of Florida-Manatee-Sarasota,FL,1,0.3487,40318.0
Miami Dade College,FL,1,0.4469,40654.0
University of Miami,FL,2,0.8423,75328.0
North Florida College,FL,1,0.6348,33929.0
University of North Florida,FL,1,0.6818,56343.0
Nova Southeastern University,FL,2,0.6434,59209.0
Northwest Florida State College,FL,1,0.4288,39664.0
Palm Beach Atlantic University,FL,2,0.5895,49232.0
Palm Beach State College,FL,1,0.4122,41923.0
Pasco-Hernando State College,FL,1,0.4293,39903.0
Pensacola State College,FL,1,0.4198,36739.0
Polk State College,FL,1,0.3396,40624.0
Ringling College of Art and Design,FL,2,0.708,43325.0
Rollins College,FL,2,0.7689,58295.0
Saint Leo University,FL,2,0.4878,48364.0
St Petersburg College,FL,1,0.3747,42557.0
Santa Fe College,FL,1,0.5209,41631.0
Seminole State College of Florida,FL,1,0.4195,41733.0
Saint Johns River State College,FL,1,0.4573,41728.0
South Florida State College,FL,1,0.5113,39990.0
University of South Florida,FL,1,0.7458,57743.0
St. Thomas University,FL,2,0.4342,54272.0
Stetson University,FL,2,0.628,51642.0
Southeastern University,FL,2,0.433,46744.0
Tallahassee State College,FL,1,0.3692,37561.0
The University of Tampa,FL,2,0.6192,59436.0
Trinity Baptist College,FL,2,0.4423,37275.0
Trinity College of Florida,FL,2,0.0,32465.0
Valencia College,FL,1,0.4352,40594.0
Warner University,FL,2,0.3492,46086.0
Webber International University,FL,2,0.2601,45606.0
University of West Florida,FL,1,0.6176,49137.0
Abraham Baldwin Agricultural College,GA,1,0.2912,34996.0
Agnes Scott College,GA,2,0.7052,56274.0
Albany State University,GA,1,0.2279,40674.0
Andrew College,GA,2,0.2696,38475.0
Point University,GA,2,0.4044,38740.0
Atlanta Metropolitan State College,GA,1,0.1429,33252.0
Clark Atlanta University,GA,2,0.478,42712.0
Berry College,GA,2,0.7391,53800.0
Beulah Heights University,GA,2,0.1667,35236.0
Brenau University,GA,2,0.3536,54003.0
Brewton-Parker College,GA,2,0.2349,42009.0
College of Coastal Georgia,GA,1,0.2556,39318.0
Clayton  State University,GA,1,0.3539,49179.0
Columbus State University,GA,1,0.4174,44544.0
Covenant College,GA,2,0.7186,50412.0
Dalton State College,GA,1,0.2959,40251.0
East Georgia State College,GA,1,0.1376,37174.0
Emmanuel University,GA,2,0.346,38208.0
Emory University,GA,2,0.9176,80137.0
Georgia Highlands College,GA,1,0.2079,43184.0
Fort Valley State University,GA,1,0.4519,36666.0
Georgia Institute of Technology-Main Campus,GA,1,0.9228,102772.0
Georgia Southwestern State University,GA,1,0.3191,48757.0
Georgia College & State University,GA,1,0.6157,58140.0
Georgia Southern University,GA,1,0.5205,53236.0
Georgia State University,GA,1,0.5372,47384.0
University of Georgia,GA,1,0.8716,68726.0
Gordon State College,GA,1,0.1731,37871.0
LaGrange College,GA,2,0.4176,51745.0
Life University,GA,2,0.3214,47397.0
Herzing University-Atlanta,GA,2,0.2917,36909.0
Mercer University,GA,2,0.7339,58354.0
Morehouse College,GA,2,0.5267,52889.0
Oglethorpe University,GA,2,0.5392,55232.0
Paine College,GA,2,0.2169,33338.0
Piedmont University,GA,2,0.4146,49130.0
Reinhardt University,GA,2,0.3562,46541.0
Savannah College of Art and Design,GA,2,0.7048,45954.0
Savannah State University,GA,1,0.2517,37981.0
Shorter University,GA,2,0.3708,44604.0
Spelman College,GA,2,0.761,59993.0
Thomas University,GA,2,0.2778,49716.0
Toccoa Falls College,GA,2,0.4601,36630.0
Truett McConnell University,GA,2,0.4115,46700.0
Valdosta State University,GA,1,0.4174,49361.0
Wesleyan College,GA,2,0.6056,44317.0
University of West Georgia,GA,1,0.4272,49587.0
Young Harris College,GA,2,0.4566,47195.0
Chaminade University of Honolulu,HI,2,0.5814,52343.0
University of Hawaii at Hilo,HI,1,0.4163,47856.0
University of Hawaii at Manoa,HI,1,0.6257,57624.0
Hawaii Pacific University,HI,2,0.4121,59593.0
University of Hawaii Maui College,HI,1,0.2734,34453.0
University of Hawaii-West Oahu,HI,1,0.4684,52075.0
Boise Bible College,ID,2,0.4815,33140.0
Boise State University,ID,1,0.6187,51658.0
Idaho State University,ID,1,0.383,45608.0
University of Idaho,ID,1,0.609,54670.0
The College of Idaho,ID,2,0.6412,48473.0
Lewis-Clark State College,ID,1,0.4472,46001.0
Northwest Nazarene University,ID,2,0.5993,51719.0
Brigham Young University-Idaho,ID,2,0.5508,53406.0
College of Southern Idaho,ID,1,0.3509,40916.0
School of the Art Institute of Chicago,IL,2,0.6402,40151.0
Augustana College,IL,2,0.7918,62971.0
Aurora University,IL,2,0.5832,58709.0
Blackburn College,IL,2,0.5241,46802.0
Bradley University,IL,2,0.7214,66852.0
Chicago State University,IL,1,0.1695,42778.0
University of Chicago,IL,2,0.9491,91885.0
