INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
Denison University,OH,2,0.8006,67753.0
The University of Findlay,OH,2,0.6263,56996.0
Franklin University,OH,2,0.3025,51892.0
Gods Bible School and College,OH,2,0.5,37722.0
Good Samaritan College of Nursing and Health Science,OH,2,0.75,66111.0
Heidelberg University,OH,2,0.4984,48466.0
Hiram College,OH,2,0.5914,54311.0
John Carroll University,OH,2,0.7649,62860.0
Kent State University at Ashtabula,OH,1,0.2584,45388.0
Kent State University at East Liverpool,OH,1,0.098,45388.0
Kent State University at Stark,OH,1,0.3726,45388.0
Kent State University at Trumbull,OH,1,0.2677,45388.0
Kent State University at Tuscarawas,OH,1,0.371,45388.0
Kent State University at Salem,OH,1,0.2819,45388.0
Kent State University at Kent,OH,1,0.6545,45388.0
Kent State University at Geauga,OH,1,0.2593,45388.0
Kenyon College,OH,2,0.8675,71830.0
Kettering College,OH,2,0.65,67492.0
Lake Erie College,OH,2,0.4194,50417.0
James A. Rhodes State College,OH,1,0.3291,41855.0
Lorain County Community College,OH,1,0.3272,38837.0
Lourdes University,OH,2,0.381,48150.0
Malone University,OH,2,0.5134,48909.0
Marietta College,OH,2,0.5809,57180.0
Marion Technical College,OH,1,0.2233,41495.0
Mercy College of Ohio,OH,2,0.4464,65409.0
Miami University-Hamilton,OH,1,0.2159,55076.0
Miami University-Middletown,OH,1,0.2454,55076.0
Miami University-Oxford,OH,1,0.8184,55076.0
Mount Carmel College of Nursing,OH,2,0.7089,75103.0
University of Mount Union,OH,2,0.6487,53217.0
Mount Vernon Nazarene University,OH,2,0.6364,49555.0
Mount St. Joseph University,OH,2,0.5471,51509.0
Zane State College,OH,1,0.5297,35006.0
Muskingum University,OH,2,0.5273,48440.0
North Central State College,OH,1,0.3418,38158.0
Notre Dame College,OH,2,0.3663,49737.0
University of Northwestern Ohio,OH,2,0.5415,50968.0
Oberlin College,OH,2,0.7948,58343.0
Ohio Dominican University,OH,2,0.479,51748.0
Ohio Northern University,OH,2,0.7418,80928.0
Ohio State University-Lima Campus,OH,1,0.181,60409.0
Ohio State University-Mansfield Campus,OH,1,0.1406,60409.0
Ohio State University-Marion Campus,OH,1,0.2566,60409.0
Ohio State University-Newark Campus,OH,1,0.3088,60409.0
Ohio State University-Main Campus,OH,1,0.8773,60409.0
Ohio University-Eastern Campus,OH,1,0.2,52581.0
Ohio University-Chillicothe Campus,OH,1,0.1213,52581.0
Ohio University-Southern Campus,OH,1,0.1929,52581.0
Ohio University-Lancaster Campus,OH,1,0.1371,52581.0
Ohio University-Main Campus,OH,1,0.6644,52581.0
Ohio University-Zanesville Campus,OH,1,0.177,52581.0
Ohio Wesleyan University,OH,2,0.6174,55624.0
Otterbein University,OH,2,0.6895,53313.0
University of Rio Grande,OH,2,0.3216,41478.0
Shawnee State University,OH,1,0.4298,39596.0
Sinclair Community College,OH,1,0.3186,37558.0
Franciscan University of Steubenville,OH,2,0.7709,50030.0
Tiffin University,OH,2,0.4295,35942.0
University of Toledo,OH,1,0.5563,50632.0
Ursuline College,OH,2,0.5325,56878.0
Walsh University,OH,2,0.6169,59764.0
Washington State College of Ohio,OH,1,0.3211,37988.0
Wilberforce University,OH,2,0.1597,38298.0
Wilmington College,OH,2,0.5508,48491.0
Wittenberg University,OH,2,0.5382,54947.0
The College of Wooster,OH,2,0.7356,59629.0
Wright State University-Main Campus,OH,1,0.4586,49500.0
Wright State University-Lake Campus,OH,1,0.4247,49500.0
Xavier University,OH,2,0.705,64873.0
Youngstown State University,OH,1,0.5291,41544.0
Bacone College,OK,2,0.0239,40006.0
Oklahoma Wesleyan University,OK,2,0.2843,59841.0
Southern Nazarene University,OK,2,0.4879,54951.0
Cameron University,OK,1,0.2154,40118.0
University of Central Oklahoma,OK,1,0.375,48351.0
East Central University,OK,1,0.3274,44962.0
Randall University,OK,2,0.2055,42051.0
Langston University,OK,1,0.175,33261.0
Northeastern State University,OK,1,0.372,45379.0
Northwestern Oklahoma State University,OK,1,0.3542,44358.0
Oklahoma Christian University,OK,2,0.5517,49203.0
Oklahoma Panhandle State University,OK,1,0.2613,44933.0
Oklahoma State University-Main Campus,OK,1,0.6589,57413.0
Oklahoma State University-Oklahoma City,OK,1,0.1321,41307.0
Oklahoma Baptist University,OK,2,0.4973,48434.0
Oklahoma City University,OK,2,0.6419,54655.0
University of Oklahoma-Norman Campus,OK,1,0.753,63126.0
Oklahoma State University Institute of Technology,OK,1,0.4215,45634.0
Oral Roberts University,OK,2,0.539,46885.0
Rogers State University,OK,1,0.2541,43166.0
University of Science and Arts of Oklahoma,OK,1,0.3626,41913.0
Southeastern Oklahoma State University,OK,1,0.3333,45079.0
Southwestern Christian University,OK,2,0.1271,40391.0
Southwestern Oklahoma State University,OK,1,0.3471,45744.0
University of Tulsa,OK,2,0.7331,61408.0
Chemeketa Community College,OR,1,0.2215,40968.0
Eastern Oregon University,OR,1,0.3662,50112.0
New Hope Christian College-Eugene,OR,2,0.25,31115.0
George Fox University,OR,2,0.6868,59761.0
Lewis & Clark College,OR,2,0.7124,62205.0
Linfield University,OR,2,0.6515,78638.0
Mount Angel Seminary,OR,2,0.3333,57436.0
Mt Hood Community College,OR,1,0.2605,41125.0
Multnomah University,OR,2,0.5082,47939.0
Bushnell University,OR,2,0.6176,53623.0
Oregon Institute of Technology,OR,1,0.5908,72273.0
Oregon State University,OR,1,0.7063,64010.0
University of Oregon,OR,1,0.7148,61324.0
Pacific Northwest College of Art,OR,2,0.4568,34883.0
Pacific University,OR,2,0.6478,60583.0
Portland State University,OR,1,0.5313,57906.0
University of Portland,OR,2,0.8042,82804.0
Reed College,OR,2,0.7592,62927.0
Southern Oregon University,OR,1,0.4418,49175.0
Warner Pacific University,OR,2,0.8209,55204.0
Corban University,OR,2,0.6103,48917.0
Willamette University,OR,2,0.7273,56911.0
Western Oregon University,OR,1,0.4483,51815.0
Bryn Athyn College of the New Church,PA,2,0.4632,40457.0
Albright College,PA,2,0.4215,58700.0
Allegheny College,PA,2,0.6653,62069.0
DeSales University,PA,2,0.7102,61295.0
Alvernia University,PA,2,0.5849,55055.0
Clarks Summit University,PA,2,0.5417,38818.0
Arcadia University,PA,2,0.6401,58336.0
Bryn Mawr College,PA,2,0.8559,75217.0
Bucknell University,PA,2,0.8623,93807.0
Cabrini University,PA,2,0.5052,59038.0
Carlow University,PA,2,0.5519,51051.0
Carnegie Mellon University,PA,2,0.9252,114862.0
Cedar Crest College,PA,2,0.5822,59460.0
Chatham University,PA,2,0.662,52410.0
Chestnut Hill College,PA,2,0.561,52015.0
Cheyney University of Pennsylvania,PA,1,0.1616,37837.0
Delaware Valley University,PA,2,0.522,55838.0
Dickinson College,PA,2,0.8342,70204.0
Drexel University,PA,2,0.7712,84648.0
Duquesne University,PA,2,0.7555,74742.0
East Stroudsburg University of Pennsylvania,PA,1,0.4383,56148.0
Eastern University,PA,2,0.5596,51655.0
Elizabethtown College,PA,2,0.7707,62399.0
Franklin and Marshall College,PA,2,0.8602,76124.0
Gannon University,PA,2,0.6954,58845.0
Geneva College,PA,2,0.6146,50004.0
Gettysburg College,PA,2,0.8273,71517.0
Gwynedd Mercy University,PA,2,0.5849,67145.0
Haverford College,PA,2,0.894,79966.0
Holy Family University,PA,2,0.6039,62235.0
Immaculata University,PA,2,0.6447,75701.0
Indiana University of Pennsylvania-Main Campus,PA,1,0.5239,51019.0
Juniata College,PA,2,0.6891,56918.0
Keystone College,PA,2,0.4116,44976.0
King's College,PA,2,0.601,59498.0
Kutztown University of Pennsylvania,PA,1,0.5411,53775.0
La Roche University,PA,2,0.5766,52341.0
La Salle University,PA,2,0.579,67416.0
Lackawanna College,PA,2,0.3773,41000.0
Lafayette College,PA,2,0.8805,91410.0
Lancaster Bible College,PA,2,0.7143,44096.0
Lebanon Valley College,PA,2,0.7251,62621.0
Lehigh University,PA,2,0.8921,105584.0
Lincoln University,PA,1,0.5212,43167.0
Lycoming College,PA,2,0.5957,56210.0
Manor College,PA,2,0.2442,46825.0
Marywood University,PA,2,0.7252,55817.0
Mercyhurst University,PA,2,0.5873,47452.0
Messiah University,PA,2,0.785,54064.0
Millersville University of Pennsylvania,PA,1,0.544,55246.0
Misericordia University,PA,2,0.692,64313.0
Moore College of Art and Design,PA,2,0.6344,37839.0
Moravian University,PA,2,0.7107,61860.0
Mount Aloysius College,PA,2,0.5556,46165.0
Muhlenberg College,PA,2,0.8025,69107.0
Neumann University,PA,2,0.4611,57817.0
Pennsylvania Institute of Technology,PA,2,0.3258,35703.0
Pennsylvania State University-Penn State Erie-Behrend College,PA,1,0.457,63435.0
Pennsylvania State University-Penn State New Kensington,PA,1,0.2443,63435.0
Pennsylvania State University-Penn State Shenango,PA,1,0.2295,63435.0
Pennsylvania State University-Penn State Wilkes-Barre,PA,1,0.1667,63435.0
Pennsylvania State University-Penn State Scranton,PA,1,0.3189,63435.0
Pennsylvania State University-Penn State Lehigh Valley,PA,1,0.1736,63435.0
Pennsylvania State University-Penn State Altoona,PA,1,0.1784,63435.0
Pennsylvania State University-Penn State Beaver,PA,1,0.212,63435.0
Pennsylvania State University-Penn State Berks,PA,1,0.2441,63435.0
Pennsylvania State University-Penn State Harrisburg,PA,1,0.2926,63435.0
Pennsylvania State University-Penn State Brandywine,PA,1,0.2133,63435.0
Pennsylvania State University-Penn State DuBois,PA,1,0.2901,63435.0
Pennsylvania State University-Penn State Fayette- Eberly,PA,1,0.3352,63435.0
Pennsylvania State University-Penn State Hazleton,PA,1,0.1791,63435.0
Pennsylvania State University-Main Campus,PA,1,0.8568,63435.0
Pennsylvania State University-Penn State Greater Allegheny,PA,1,0.2743,63435.0
Pennsylvania State University-Penn State Mont Alto,PA,1,0.2512,63435.0
Pennsylvania State University-Penn State Abington,PA,1,0.2222,63435.0
Pennsylvania State University-Penn State Schuylkill,PA,1,0.2069,63435.0
Pennsylvania State University-Penn State York,PA,1,0.1143,63435.0
Peirce College,PA,2,0.0526,50660.0
Pennsylvania Academy of the Fine Arts,PA,2,0.6757,29881.0
Pennsylvania College of Art and Design,PA,2,0.6377,33301.0
University of Pennsylvania,PA,2,0.9681,111371.0
University of the Arts,PA,2,0.6919,38252.0
Cairn University-Langhorne,PA,2,0.6516,44172.0
University of Pittsburgh-Bradford,PA,1,0.4344,66125.0
University of Pittsburgh-Greensburg,PA,1,0.3963,66125.0
University of Pittsburgh-Johnstown,PA,1,0.5345,66125.0
University of Pittsburgh-Pittsburgh Campus,PA,1,0.8434,66125.0
Pittsburgh Technical College,PA,2,0.5309,40770.0
Point Park University,PA,2,0.5956,45856.0
Robert Morris University,PA,2,0.6555,62105.0
Rosemont College,PA,2,0.4348,48555.0
Saint Francis University,PA,2,0.7275,62101.0
Saint Joseph's University - Philadelphia,PA,2,0.7983,86881.0
Saint Vincent College,PA,2,0.7215,59982.0
University of Scranton,PA,2,0.808,74652.0
Seton Hill University,PA,2,0.7099,51748.0
Shippensburg University of Pennsylvania,PA,1,0.5161,56351.0
Slippery Rock University of Pennsylvania,PA,1,0.6591,53032.0
Saint Charles Borromeo Seminary-Overbrook,PA,2,0.4444,55225.0
Susquehanna University,PA,2,0.7409,61723.0
Swarthmore College,PA,2,0.9413,80257.0
Temple University,PA,1,0.7468,63727.0
Thiel College,PA,2,0.4355,49714.0
Thomas Jefferson University,PA,2,0.6819,77449.0
Ursinus College,PA,2,0.7662,73721.0
University of Valley Forge,PA,2,0.5612,39016.0
Villanova University,PA,2,0.9241,100423.0
Washington & Jefferson College,PA,2,0.7139,67918.0
Waynesburg University,PA,2,0.605,58537.0
West Chester University of Pennsylvania,PA,1,0.698,61258.0
Westminster College,PA,2,0.6586,53861.0
Widener University,PA,2,0.6351,70920.0
Wilkes University,PA,2,0.6034,63454.0
Wilson College,PA,2,0.5183,43326.0
York College of Pennsylvania,PA,2,0.5974,61012.0
Brown University,RI,2,0.9595,93487.0
Bryant University,RI,2,0.8061,90008.0
Johnson & Wales University-Providence,RI,2,0.5488,43418.0
New England Institute of Technology,RI,2,0.5747,48684.0
Providence College,RI,2,0.8785,87054.0
Rhode Island College,RI,1,0.4618,56318.0
University of Rhode Island,RI,1,0.7103,69743.0
Rhode Island School of Design,RI,2,0.8847,68140.0
Roger Williams University,RI,2,0.6661,70266.0
Salve Regina University,RI,2,0.7492,72975.0
Northpoint Bible College,MA,2,0.5085,42210.0
Allen University,SC,2,0.1323,30497.0
Anderson University,SC,2,0.7099,42101.0
Charleston Southern University,SC,2,0.4858,45898.0
Benedict College,SC,2,0.2115,31902.0
Bob Jones University,SC,2,0.6961,44354.0
Southern Wesleyan University,SC,2,0.5202,47756.0
College of Charleston,SC,1,0.6498,56416.0
Citadel Military College of South Carolina,SC,1,0.7282,72085.0
Claflin University,SC,2,0.4913,40304.0
Clemson University,SC,1,0.879,71513.0
Clinton College,SC,2,0.1111,30180.0
Coker University,SC,2,0.3462,40117.0
Columbia International University,SC,2,0.6552,38951.0
Columbia College,SC,2,0.5346,41338.0
Converse University,SC,2,0.471,40867.0
Erskine College,SC,2,0.4859,53459.0
Francis Marion University,SC,1,0.4273,43888.0
Furman University,SC,2,0.8149,68635.0
Greenville Technical College,SC,1,0.1759,39473.0
Lander University,SC,1,0.4876,42396.0
Limestone University,SC,2,0.2757,44999.0
Morris College,SC,2,0.2043,30614.0
Newberry College,SC,2,0.4438,48040.0
North Greenville University,SC,2,0.5491,43035.0
Presbyterian College,SC,2,0.619,60194.0
University of South Carolina Aiken,SC,1,0.4011,45603.0
University of South Carolina Beaufort,SC,1,0.3859,48088.0
University of South Carolina-Columbia,SC,1,0.7775,62177.0
Coastal Carolina University,SC,1,0.5084,47258.0
South Carolina State University,SC,1,0.2941,38262.0
University of South Carolina-Upstate,SC,1,0.4242,48587.0
Spartanburg Methodist College,SC,2,0.3833,42895.0
Voorhees University,SC,2,0.3779,35339.0
Winthrop University,SC,1,0.6122,47185.0
Wofford College,SC,2,0.8075,68964.0
Augustana University,SD,2,0.7563,59217.0
Black Hills State University,SD,1,0.3858,46674.0
Dakota State University,SD,1,0.493,50970.0
Dakota Wesleyan University,SD,2,0.4643,53728.0
Mount Marty University,SD,2,0.6055,48179.0
Northern State University,SD,1,0.5224,47618.0
Oglala Lakota College,SD,1,0.1146,22517.0
South Dakota School of Mines and Technology,SD,1,0.5817,72257.0
South Dakota State University,SD,1,0.5964,55070.0
Sinte Gleska University,SD,1,0.0,20948.0
University of Sioux Falls,SD,2,0.6051,54521.0
Sisseton Wahpeton College,SD,1,0.1296,31546.0
University of South Dakota,SD,1,0.6143,51926.0
American Baptist College,TN,2,0.3333,41216.0
Austin Peay State University,TN,1,0.445,44301.0
Baptist Health Sciences University,TN,2,0.5375,72529.0
Belmont University,TN,2,0.717,55930.0
Bethel University,TN,2,0.349,47482.0
Bryan College-Dayton,TN,2,0.5593,54434.0
Carson-Newman University,TN,2,0.4645,48382.0
Christian Brothers University,TN,2,0.5599,57478.0
Cumberland University,TN,2,0.4698,57687.0
Lipscomb University,TN,2,0.687,55541.0
East Tennessee State University,TN,1,0.4988,44859.0
Fisk University,TN,2,0.4351,45454.0
Welch College,TN,2,0.6143,42198.0
Freed-Hardeman University,TN,2,0.6837,47485.0
Johnson University,TN,2,0.6216,40596.0
King University,TN,2,0.4643,59831.0
Lane College,TN,2,0.1703,31670.0
Le Moyne-Owen College,TN,2,0.247,35594.0
Lee University,TN,2,0.6067,43222.0
Lincoln Memorial University,TN,2,0.5392,49956.0
The University of Tennessee Southern,TN,1,0.3566,38924.0
Maryville College,TN,2,0.4718,49279.0
University of Memphis,TN,1,0.4942,48458.0
Middle Tennessee State University,TN,1,0.54,48541.0
Rhodes College,TN,2,0.8164,66651.0
The University of the South,TN,2,0.8237,64911.0
Southern Adventist University,TN,2,0.5143,53723.0
Tennessee Wesleyan University,TN,2,0.4363,45989.0
The University of Tennessee-Chattanooga,TN,1,0.5309,51151.0
The University of Tennessee-Knoxville,TN,1,0.735,60249.0
The University of Tennessee-Martin,TN,1,0.5483,44213.0
Tennessee State University,TN,1,0.3303,42730.0
Tennessee Technological University,TN,1,0.5423,48501.0
Trevecca Nazarene University,TN,2,0.5481,49378.0
Tusculum University,TN,2,0.3054,44367.0
Union University,TN,2,0.7092,53990.0
Vanderbilt University,TN,2,0.9269,91565.0
Abilene Christian University,TX,2,0.6021,55736.0
Angelo State University,TX,1,0.4073,50116.0
Arlington Baptist University,TX,2,0.0455,44644.0
Austin College,TX,2,0.6949,61296.0
Austin Community College District,TX,1,0.18,43177.0
Baylor University,TX,2,0.8016,65793.0
Remington College-Dallas Campus,TX,2,0.3762,31349.0
Brazosport College,TX,1,0.3867,45910.0
Concordia University Texas,TX,2,0.4051,60883.0
Texas A & M University-Corpus Christi,TX,1,0.3374,51865.0
Dallas Baptist University,TX,2,0.6041,56807.0
Dallas Christian College,TX,2,0.2391,43503.0
University of Dallas,TX,2,0.6802,58285.0
Del Mar College,TX,1,0.128,38656.0
East Texas Baptist University,TX,2,0.4797,52788.0
Texas A&M University-Texarkana,TX,1,0.312,45515.0
East Texas A&M University,TX,1,0.4593,50296.0
Dallas College,TX,1,0.3553,41714.0
Galveston College,TX,1,0.3235,37233.0
Grayson College,TX,1,0.2007,40873.0
Hallmark University,TX,2,0.6827,40183.0
Hardin-Simmons University,TX,2,0.4956,54771.0
Trinity Valley Community College,TX,1,0.2395,38567.0
Houston Christian University,TX,2,0.498,55933.0
University of Houston-Clear Lake,TX,1,0.5085,59004.0
Houston Community College,TX,1,0.1697,39254.0
University of Houston-Downtown,TX,1,0.3376,53551.0
University of Houston-Victoria,TX,1,0.2652,54467.0
University of Houston,TX,1,0.6492,62377.0
Howard Payne University,TX,2,0.3112,48376.0
Huston-Tillotson University,TX,2,0.3607,42937.0
University of the Incarnate Word,TX,2,0.5184,56733.0
Jarvis Christian University,TX,2,0.1508,32992.0
Lamar University,TX,1,0.3718,49652.0
Laredo College,TX,1,0.3054,33934.0
Texas A & M International University,TX,1,0.4892,48386.0
LeTourneau University,TX,2,0.6111,57103.0
Lubbock Christian University,TX,2,0.4871,53787.0
College of the Mainland,TX,1,0.2825,39639.0
University of Mary Hardin-Baylor,TX,2,0.534,56132.0
McMurry University,TX,2,0.3862,48779.0
Midland College,TX,1,0.1713,43958.0
Midwestern State University,TX,1,0.4128,55747.0
Navarro College,TX,1,0.2395,38716.0
Lone Star College System,TX,1,0.185,42466.0
University of North Texas,TX,1,0.5957,57010.0
Odessa College,TX,1,0.2794,42026.0
Our Lady of the Lake University,TX,2,0.4243,48675.0
The University of Texas Rio Grande Valley,TX,1,0.4927,49620.0
Paul Quinn College,TX,2,0.381,29288.0
Prairie View A & M University,TX,1,0.4322,45411.0
Rice University,TX,2,0.9569,89718.0
Saint Edward's University,TX,2,0.6418,58826.0
University of St Thomas,TX,2,0.6862,59224.0
Sam Houston State University,TX,1,0.5507,54211.0
San Antonio College,TX,1,0.2206,39711.0
San Jacinto Community College,TX,1,0.3439,43062.0
Schreiner University,TX,2,0.437,52228.0
St. Mary's University,TX,2,0.5879,56955.0
Southern Methodist University,TX,2,0.8325,78354.0
Nelson University,TX,2,0.3553,46238.0
Southwestern University,TX,2,0.6934,56878.0
Stephen F Austin State University,TX,1,0.5175,49634.0
Texas State University,TX,1,0.5617,56906.0
Southwestern Adventist University,TX,2,0.4109,52946.0
Southwestern Christian College,TX,2,0.4918,32672.0
Sul Ross State University,TX,1,0.2744,41871.0
Tarleton State University,TX,1,0.5123,53040.0
Texas A&M University-Kingsville,TX,1,0.4559,51450.0
Texas A&M University-College Station,TX,1,0.8378,72097.0
The University of Texas at Arlington,TX,1,0.5652,63199.0
The University of Texas at Austin,TX,1,0.8764,75121.0
The University of Texas at Dallas,TX,1,0.7083,68227.0
The University of Texas at El Paso,TX,1,0.4595,50923.0
The University of Texas at Tyler,TX,1,0.4677,57053.0
Texas Christian University,TX,2,0.8561,68424.0
Texas College,TX,2,0.1069,33752.0
Texas Lutheran University,TX,2,0.5518,53863.0
The University of Texas Permian Basin,TX,1,0.4298,56073.0
The University of Texas at San Antonio,TX,1,0.5119,57131.0
Texas Southern University,TX,1,0.1989,38924.0
Texas Tech University,TX,1,0.6747,62454.0
Texas Wesleyan University,TX,2,0.3235,54053.0
Texas Woman's University,TX,1,0.4421,56544.0
Trinity University,TX,2,0.8193,71668.0
Tyler Junior College,TX,1,0.2669,38140.0
Wayland Baptist University,TX,2,0.1919,51838.0
Weatherford College,TX,1,0.2283,42397.0
West Texas A & M University,TX,1,0.4731,50741.0
Wiley University,TX,2,0.2,33159.0
Brigham Young University,UT,2,0.8221,75790.0
Brigham Young University-Hawaii,HI,2,0.5439,52064.0
Utah Tech University,UT,1,0.3421,44570.0
Ensign College,UT,2,0.3109,50630.0
Snow College,UT,1,0.4665,41022.0
Southern Utah University,UT,1,0.5899,50296.0
Utah State University,UT,1,0.5732,54022.0
Utah Valley University,UT,1,0.4074,55486.0
University of Utah,UT,1,0.6391,67170.0
Weber State University,UT,1,0.4298,56287.0
Westminster University,UT,2,0.6936,66215.0
Bennington College,VT,2,0.6667,38289.0
Champlain College,VT,2,0.6301,58386.0
Goddard College,VT,2,0.75,25552.0
Middlebury College,VT,2,0.9259,76310.0
Norwich University,VT,2,0.6103,65575.0
Saint Michael's College,VT,2,0.6887,61317.0
Sterling College,VT,2,0.4286,30573.0
Vermont State University,VT,1,0.4894,50331.0
University of Vermont,VT,1,0.7856,62472.0
Averett University,VA,2,0.4357,51516.0
Bluefield University,VA,2,0.2714,48896.0
Bridgewater College,VA,2,0.4944,53453.0
William & Mary,VA,1,0.9101,73490.0
Regent University,VA,2,0.5409,44498.0
Christopher Newport University,VA,1,0.7508,60509.0
Bryant & Stratton College-Virginia Beach,VA,2,0.281,32568.0
Emory & Henry University,VA,2,0.5375,47385.0
Eastern Mennonite University,VA,2,0.4709,54869.0
Ferrum College,VA,2,0.2886,44296.0
George Mason University,VA,1,0.6932,76343.0
Hampden-Sydney College,VA,2,0.6527,67640.0
Hampton University,VA,2,0.5567,59159.0
Hollins University,VA,2,0.6968,40075.0
James Madison University,VA,1,0.8089,69954.0
Liberty University,VA,2,0.6348,44813.0
Longwood University,VA,1,0.616,52347.0
University of Lynchburg,VA,2,0.6162,56380.0
Centra College,VA,2,1.0,60122.0
Mary Baldwin University,VA,2,0.5566,44427.0
University of Mary Washington,VA,1,0.6738,60613.0
Marymount University,VA,2,0.5789,67516.0
Norfolk State University,VA,1,0.3267,44666.0
Old Dominion University,VA,1,0.4435,54914.0
Radford University,VA,1,0.4962,53739.0
Randolph-Macon College,VA,2,0.746,58448.0
Randolph College,VA,2,0.5149,53409.0
University of Richmond,VA,2,0.8784,76178.0
Riverside College of Health Careers,VA,2,0.625,66072.0
Roanoke College,VA,2,0.6589,58047.0
Shenandoah University,VA,2,0.7055,58433.0
Southern Virginia University,VA,2,0.3829,50002.0
Sweet Briar College,VA,2,0.481,51943.0
University of Virginia's College at Wise,VA,1,0.4981,45325.0
Virginia Polytechnic Institute and State University,VA,1,0.8628,81698.0
Virginia Commonwealth University,VA,1,0.6538,58128.0
University of Virginia-Main Campus,VA,1,0.953,86863.0
Virginia Military Institute,VA,1,0.818,77369.0
Virginia University of Lynchburg,VA,2,0.2609,28396.0
Virginia State University,VA,1,0.4072,45543.0
Virginia Union University,VA,2,0.4133,38275.0
Virginia Wesleyan University,VA,2,0.4905,50074.0
Washington and Lee University,VA,2,0.949,94810.0
Bellevue College,WA,1,0.335,56310.0
Bellingham Technical College,WA,1,0.4545,49748.0
Big Bend Community College,WA,1,0.3667,43814.0
Central Washington University,WA,1,0.4985,61580.0
Centralia College,WA,1,0.4582,43140.0
City University of Seattle,WA,2,0.1667,69460.0
Clark College,WA,1,0.3574,42356.0
Clover Park Technical College,WA,1,0.4066,41787.0
Columbia Basin College,WA,1,0.2765,46680.0
Cornish College of the Arts,WA,2,0.5198,33696.0
Eastern Washington University,WA,1,0.4721,57897.0
Edmonds College,WA,1,0.3315,48144.0
Everett Community College,WA,1,0.3826,45434.0
The Evergreen State College,WA,1,0.4356,45320.0
Pierce College District,WA,1,0.3122,47532.0
Gonzaga University,WA,2,0.8687,78892.0
Grays Harbor College,WA,1,0.3156,40865.0
Green River College,WA,1,0.4121,50712.0
Heritage University,WA,2,0.3981,49416.0
Highline College,WA,1,0.3862,47869.0
Lake Washington Institute of Technology,WA,1,0.3985,50669.0
Lower Columbia College,WA,1,0.25,40691.0
North Seattle College,WA,1,0.3243,47728.0
Northwest University,WA,2,0.6349,54914.0
Olympic College,WA,1,0.3403,43169.0
Pacific Lutheran University,WA,2,0.7099,66990.0
Peninsula College,WA,1,0.4063,37078.0
University of Puget Sound,WA,2,0.6791,69594.0
Renton Technical College,WA,1,0.55,49782.0
Saint Martin's University,WA,2,0.5709,62092.0
South Seattle College,WA,1,0.2625,44486.0
Seattle Central College,WA,1,0.3141,43307.0
Seattle Pacific University,WA,2,0.6215,64506.0
Seattle University,WA,2,0.7331,75272.0
Skagit Valley College,WA,1,0.336,43505.0
Spokane Community College,WA,1,0.3726,41984.0
Spokane Falls Community College,WA,1,0.3039,38955.0
Tacoma Community College,WA,1,0.3277,47168.0
Walla Walla Community College,WA,1,0.4746,43526.0
Walla Walla University,WA,2,0.6416,61885.0
Washington State University,WA,1,0.6164,68905.0
University of Washington-Seattle Campus,WA,1,0.837,78466.0
Wenatchee Valley College,WA,1,0.3955,41127.0
Western Washington University,WA,1,0.6555,62569.0
Whatcom Community College,WA,1,0.3643,44092.0
Whitman College,WA,2,0.8098,67589.0
Whitworth University,WA,2,0.6839,58561.0
Yakima Valley College,WA,1,0.3377,43499.0
Appalachian Bible College,WV,2,0.7561,37467.0
Bethany College,WV,2,0.4625,44512.0
Bluefield State University,WV,1,0.3456,38217.0
University of Charleston,WV,2,0.4633,55774.0
Concord University,WV,1,0.4225,42703.0
Davis & Elkins College,WV,2,0.366,43411.0
Fairmont State University,WV,1,0.4832,46857.0
Glenville State University,WV,1,0.3549,39315.0
Marshall University,WV,1,0.4869,46354.0
West Virginia University at Parkersburg,WV,1,0.3061,35171.0
Potomac State College of West Virginia University,WV,1,0.2598,55939.0
Shepherd University,WV,1,0.4949,49358.0
West Virginia State University,WV,1,0.3351,40492.0
West Liberty University,WV,1,0.6062,43296.0
West Virginia University Institute of Technology,WV,1,0.3612,55939.0
West Virginia Wesleyan College,WV,2,0.4945,51593.0
West Virginia University,WV,1,0.612,55939.0
Wheeling University,WV,2,0.3204,57949.0
Alverno College,WI,2,0.5051,53145.0
Madison Area Technical College,WI,1,0.2626,45413.0
Bellin College,WI,2,0.7429,76222.0
Beloit College,WI,2,0.6718,53260.0
Carroll University,WI,2,0.696,58009.0
Carthage College,WI,2,0.6051,56950.0
Concordia University-Wisconsin,WI,2,0.6431,56075.0
Edgewood College,WI,2,0.6738,59728.0
Lakeland University,WI,2,0.5575,55961.0
Lawrence University,WI,2,0.7642,55789.0
Maranatha Baptist University,WI,2,0.6569,45593.0
Marian University,WI,2,0.4119,53501.0
Marquette University,WI,2,0.8006,78257.0
Milwaukee Institute of Art & Design,WI,2,0.6327,41174.0
Milwaukee School of Engineering,WI,2,0.7154,89070.0
Mount Mary University,WI,2,0.5887,48745.0
Northland College,WI,2,0.4332,44560.0
Ripon College,WI,2,0.5991,54902.0
Saint Norbert College,WI,2,0.7357,58363.0
Viterbo University,WI,2,0.6516,55660.0
University of Wisconsin-Whitewater,WI,1,0.643,55356.0
University of Wisconsin-Eau Claire,WI,1,0.6756,58561.0
University of Wisconsin-Green Bay,WI,1,0.5309,52528.0
University of Wisconsin-La Crosse,WI,1,0.7119,60378.0
Wisconsin Lutheran College,WI,2,0.6266,54664.0
University of Wisconsin-Oshkosh,WI,1,0.5789,55548.0
