State,FY,COLI (Cost of Living) Adjustment,EMI (Enrollment Mix) Adjustment,HECA (Inflation) Adjustment,CPI (Inflation) Adjustment,Total State Support,Total State and Local Support,Total Federal Stimulus,Total State and Local Support Excluding Federal Stimulus,Adjustments to State Support,Research - Agriculture - Medical (RAM),Total Independent Support,Total Financial Aid,Education Appropriations,Public Federal Stimulus,Education Appropriations Excluding Federal Stimulus,General Public Operations,State Public Financial Aid as a Percent of Education Appropriations,Net Tuition and Fee Revenue,Student Share,Total Education Revenue,Total Education Revenue Excluding Federal Stimulus,Net FTE Enrollment,State Tax Appropriations,Non-Tax Support,Local Appropriations,Federal Stimulus Used for Financial Aid,Agency Funding,Independent Operating,Non-Credit,State Public Financial Aid,Independent Financial Aid,Out-of-State Financial Aid,Agriculture and Extension Appropriations,Hospital Appropriations,Medical School Appropriations,Research Appropriations,Gross Tuition and Fee Revenue,Medical Tuition and Fee Revenue,Institutional Discounts and Waivers,Tuition and Fees Used for Debt Service,Gross FTE Enrollment,Medical FTE Enrollment
Michigan,2024,0.857267,1.008582,1.0,1.0,2791042000,3487622455,15000000.0,3472622455,0.0,179774546,26298321.0,191908108.0,3281549588,15000000.0,3266549588,3100939801.0,0.0504669463492502,4810910000,0.594492928594159,8092459588,8077459588,332245,2776042000.0,0.0,696580455,0.0,0.0,0.0,0.0,165609787.0,26298321.0,0.0,71743400.0,0.0,43921450.0,64109696.0,6346768929.0,272107275.0,1098141867.0,0.0,338569.0,6324.0
Minnesota,2024,0.961356,0.989603,1.0,1.0,2059151648,2059151648,0.0,2059151648,0.0,210572720,90163899.0,243636648.0,1756616029,0.0,1756616029,1599993280.0,0.08916163032462,1635815432,0.482823907263927,3388016640,3388016640,161710,2059151648.0,0.0,0,0.0,102517000.0,3150000.0,1799000.0,156622749.0,87013899.0,0.0,60867568.0,0.0,129488578.0,20216574.0,1966068520.0,42205559.0,131424780.0,4414821.0,166313.0,4603.0
Mississippi,2024,0.83345,1.008723,1.0,1.0,1178499775,1252012512,0.0,1252012512,1500000.0,320036986,3963986.0,51659889.0,927339156,0.0,927339156,880315637.0,0.0507080054753991,928356836,0.50027420439673,1855695992,1855695992,121925,1174113506.0,2886269.0,73512737,0.0,15738463.0,0.0,0.0,47023519.0,3963986.0,672384.0,92048582.0,12800000.0,184327865.0,30860539.0,1412745949.0,43541591.0,393824003.0,0.0,124888.0,2963.0
Missouri,2024,0.852005,0.985412,1.0,1.0,1296467325,1519720104,16836949.0,1502883155,-30931060.0,214422640,37101044.0,171564002.0,1259359471,8000000.0,1251359471,1116896513.0,0.106770911003853,1145664645,0.476363059055496,2405024116,2397024116,144901,1215327851.0,95233585.0,223252779,0.0,4323806.0,0.0,0.0,134462958.0,37101044.0,0.0,26470000.0,1937640.0,101329000.0,84686000.0,1914111195.0,74294379.0,559689213.0,0.0,147660.0,2759.0
Montana,2024,0.978571,1.059349,1.0,1.0,303182725,313958080,1584898.0,312373182,5852631.0,47584174,0.0,1590193.0,266373906,1584898.0,264789008,263198815.0,0.00596977768535631,294200195,0.524819456473605,560574101,558989203,34503,295745196.0,0.0,10775355,0.0,55733.0,0.0,0.0,1590193.0,0.0,0.0,27211726.0,0.0,11490599.0,8881849.0,380671188.0,0.0,84880800.0,0.0,34503.0,0.0
Nebraska,2024,0.949022,1.001357,1.0,1.0,906602431,1130585990,350000.0,1130235990,0.0,213594161,8773783.0,37271529.0,908218046,350000.0,907868046,879370300.0,0.0313776478297371,481179941,0.351807016589063,1367738329,1367388329,72625,866639142.0,39613289.0,223983559,0.0,1552601.0,0.0,0.0,28497746.0,8773783.0,0.0,80666279.0,0.0,117770102.0,15157780.0,741301120.0,40587818.0,191035615.0,21659658.0,74504.0,1879.0
Nevada,2024,1.053903,1.038213,1.0,1.0,967695842,968337569,4273804.0,964063765,0.0,124226313,0.0,118389028.0,844086256,4273804.0,839812452,721423424.0,0.140257026054456,228884090,0.213318188012626,1072970346,1068696542,68891,845033010.0,118389028.0,641727,1670563.0,59650444.0,0.0,25000.0,118389028.0,0.0,0.0,10798583.0,0.0,101399182.0,12028548.0,369418587.0,22145469.0,0.0,0.0,70072.0,1181.0
New Hampshire,2024,1.14418,1.039625,1.0,1.0,178929226,178929226,2941291.0,175987935,117764.0,12903562,1436000.0,9769244.0,164589664,2941291.0,161648373,153315129.0,0.05063042111806,348609143,0.679286736923377,513198807,510257516,29891,170949800.0,4920371.0,0,0.0,466463.0,0.0,0.0,8333244.0,1436000.0,0.0,11753701.0,0.0,0.0,1149861.0,556963491.0,0.0,200021104.0,0.0,29891.0,0.0
New Jersey,2024,1.140457,0.989993,1.0,1.0,3092505000,3376206000,2000000.0,3374206000,0.0,308717000,156575000.0,661306000.0,2910914000,2000000.0,2908914000,2388683000.0,0.178717406285448,1957674602,0.402103106677733,4868588602,4866588602,248055,2965658000.0,124847000.0,283701000,0.0,4474000.0,15500000.0,0.0,520231000.0,141075000.0,0.0,27426000.0,44745000.0,233009000.0,3537000.0,3454590676.0,0.0,976685074.0,0.0,251572.0,3517.0
New Mexico,2024,0.946305,0.988873,1.0,1.0,1396912200,1537506685,101002000.0,1436504685,20058100.0,150813900,31100.0,264180601.0,1375441685,101002000.0,1274439685,1014010184.0,0.189342451839389,234067668,0.145427963847315,1609509353,1508507353,73343,1084852100.0,191000000.0,140594485,62763419.0,5448600.0,0.0,7500000.0,260429501.0,31100.0,2220000.0,34589600.0,0.0,82735700.0,33488600.0,675488004.0,32778245.0,148212590.0,0.0,73749.0,406.0
New York,2024,1.057517,0.989115,1.0,1.0,6737535760,7914982319,0.0,7914982319,0.0,335409094,250580000.0,806285761.0,7328993225,0.0,7328993225,6737217464.0,0.0807444819271203,3123406765,0.298821970838106,10452399990,10452399990,456600,6737535760.0,0.0,1177446559,0.0,66650281.0,36070000.0,0.0,591775761.0,214510000.0,0.0,36320000.0,24592755.0,212673040.0,61823299.0,4654266153.0,195378820.0,743704807.0,0.0,463103.0,6503.0
North Carolina,2024,0.896213,0.98433,1.0,1.0,5402183757,5718005486,29633533.0,5688371953,-22619238.0,629992905,92300754.0,291051641.0,4834471016,29633533.0,4804837483,4606086596.0,0.0411111963112864,1929329847,0.285243443158418,6763800863,6734167330,409585,5378204584.0,16964878.0,315821729,2785114.0,75617747.0,0.0,161240811.0,198750887.0,92300754.0,0.0,108813441.0,0.0,442613961.0,78565503.0,2386515981.0,83680452.0,174754795.0,0.0,412338.0,2753.0
North Dakota,2024,1.015662,1.020071,1.0,1.0,470036099,470036099,0.0,470036099,0.0,104788619,7720146.0,25611037.0,357527334,0.0,357527334,336710648.0,0.0582240405708393,332121711,0.481580759674655,689649045,689649045,33418,470036099.0,0.0,0,0.0,43445123.0,2925795.0,0.0,20816686.0,4794351.0,0.0,60359106.0,0.0,41415638.0,3013875.0,457272196.0,17800900.0,86532899.0,0.0,34781.0,1363.0
Ohio,2024,0.870595,1.009494,1.0,1.0,2598506036,2827986060,0.0,2827986060,0.0,250983707,75427264.0,244055004.0,2460170191,0.0,2460170191,2293765202.0,0.0676396249368262,3289593182,0.572126706543685,5749763373,5749763373,341812,2598506036.0,0.0,229480024,0.0,25996158.0,0.0,39182147.0,166404989.0,75427264.0,2222751.0,25504000.0,0.0,182893707.0,42586000.0,5024535451.0,314550667.0,1253986613.0,0.0,349107.0,7295.0
Oklahoma,2024,0.877256,1.011231,1.0,1.0,1142891843,1205377761,5000000.0,1200377761,134097468.0,157528961,12042087.0,127395208.0,1035781343,5000000.0,1030781343,915453592.0,0.11134372305449,998725962,0.490893278950404,2034507305,2029507305,123283,971251361.0,32543014.0,62485918,0.0,9833712.0,0.0,0.0,115327751.0,12042087.0,25370.0,44982315.0,0.0,110696223.0,1850423.0,1511389849.0,123078874.0,274257262.0,0.0,131064.0,7781.0
Oregon,2024,1.115894,1.008344,1.0,1.0,1254606067,1486921839,0.0,1486921839,0.0,168253127,15973909.0,192901302.0,1246694803,0.0,1246694803,1069767410.0,0.141917165752395,1401994404,0.529316312497059,2648689207,2648689207,128457,1245441095.0,9164972.0,232315772,0.0,22000000.0,0.0,56000000.0,176927393.0,15973909.0,0.0,84788375.0,11123863.0,58579570.0,13761319.0,1838901695.0,21691909.0,238287989.0,0.0,129352.0,895.0
Pennsylvania,2024,0.959724,1.027127,1.0,1.0,2101117246,2261604157,0.0,2261604157,0.0,92463000,217713648.0,430356000.0,1949278692,0.0,1949278692,1738585157.0,0.10808794856513,3270869163,0.626585540075665,5220147855,5220147855,289408,2101117246.0,0.0,160486911,0.0,6324246.0,200000.0,0.0,210693535.0,217513648.0,2148817.0,57710000.0,24682000.0,10071000.0,0.0,4292795219.0,,811232521.0,,291599.0,2191.0
Rhode Island,2024,1.203631,0.965323,1.0,1.0,267074758,267074758,2984146.0,264090612,0.0,0,1800000.0,19217499.0,265274758,2984146.0,262290612,244873113.0,0.0656583352721407,354431768,0.571934864536185,619706526,616722380,29193,264090612.0,0.0,0,0.0,4352782.0,0.0,0.0,17417499.0,1800000.0,0.0,0.0,0.0,0.0,0.0,529479577.0,0.0,157630310.0,0.0,29193.0,0.0
South Carolina,2024,0.930178,1.015291,1.0,1.0,1856906195,1951617198,0.0,1951617198,0.0,239703294,165688910.0,583646362.0,1536937339,0.0,1536937339,1119080042.0,0.271876599258026,1838868818,0.562472244744171,3269261435,3269261435,175188,1288793554.0,568112641.0,94711003,0.0,33617117.0,9187500.0,0.0,417857297.0,156501410.0,5415405.0,74642159.0,0.0,151661515.0,13399620.0,2774289512.0,69349952.0,448213445.0,106544722.0,178922.0,3734.0
South Dakota,2024,0.938154,0.969914,1.0,1.0,339579953,339579953,0.0,339579953,1565299.0,53819814,1377304.0,7937059.0,284151287,0.0,284151287,277823080.0,0.0222705554735003,276536909,0.513147172725469,538903698,538903698,31182,333525458.0,4489196.0,0,0.0,31822779.0,0.0,0.0,6328207.0,1377304.0,231548.0,26045059.0,0.0,20457522.0,7317233.0,292600895.0,9735779.0,0.0,21784498.0,31686.0,504.0
